 order_id,order_date,customer_id,product,category,quantity,price,cost,discount,region
10001,2023-04-13,C0568,Mobile,Electronics,1,22000,18000.0,1000,North
10002,2023-12-15,C0060,Laptop,Electronics,3,60000,48000.0,3000,West
10003,2023-09-28,C0650,Mobile,Electronics,1,22000,18000.0,500,West
10004,2023-04-17,C0039,Office Chair,Furniture,3,7000,4500.0,0,North
10005,2023-03-13,C0540,Laptop,Electronics,2,60000,48000.0,1000,North
10006,2023-07-08,C0049,Headphone,Electronics,1,2500,,3000,South
10007,2023-01-21,C0420,Tablet,Electronics,3,18000,14000.0,3000,West
10008,2023-04-13,C0637,Laptop,Electronics,2,60000,48000.0,2000,South
10009,2023-05-02,C0013,Office Chair,Furniture,3,7000,4500.0,3000,South
10010,2023-08-03,C0036,Laptop,Electronics,1,60000,48000.0,500,East
10011,2023-11-27,C0101,Mobile,Electronics,1,22000,18000.0,1000,North
10012,2023-03-29,C0794,Table,Furniture,1,9000,6500.0,2000,South
10013,2023-04-10,C0086,Laptop,Electronics,1,60000,48000.0,1000,North
10014,2023-12-26,C0516,Headphone,Electronics,2,2500,,1000,East
10015,2023-06-01,C0223,Laptop,Electronics,3,60000,48000.0,500,North
10016,2023-05-11,C0338,Tablet,Electronics,2,18000,14000.0,3000,South
10017,2023-05-30,C0166,Laptop,Electronics,1,60000,48000.0,500,West
10018,2023-11-05,C0383,Table,Furniture,3,9000,6500.0,3000,South
10019,2023-09-15,C0376,Mobile,Electronics,1,22000,18000.0,2000,East
10020,2023-12-10,C0471,Laptop,Electronics,2,60000,48000.0,500,North
10021,2023-10-21,C0790,Headphone,Electronics,2,2500,,500,South
10022,2023-07-11,C0642,Office Chair,Furniture,2,7000,4500.0,5000,North
10023,2023-10-04,C0031,Laptop,Electronics,3,60000,48000.0,0,South
10024,2023-06-10,C0375,Laptop,Electronics,3,60000,48000.0,500,North
10025,2023-11-10,C0011,Tablet,Electronics,1,18000,14000.0,5000,North
10026,2023-01-22,C0302,Headphone,Electronics,3,2500,,0,North
10027,2023-09-10,C0096,Table,Furniture,3,9000,6500.0,3000,South
10028,2023-08-24,C0190,Office Chair,Furniture,2,7000,4500.0,3000,South
10029,2023-12-11,C0453,Mobile,Electronics,1,22000,18000.0,3000,South
10030,2023-02-18,C0192,Laptop,Electronics,2,60000,48000.0,5000,North
10031,2023-02-28,C0486,Table,Furniture,1,9000,6500.0,5000,East
10032,2023-06-19,C0266,Office Chair,Furniture,1,7000,4500.0,0,South
10033,2023-07-07,C0424,Mobile,Electronics,3,22000,18000.0,3000,South
10034,2023-09-28,C0128,Table,Furniture,2,9000,6500.0,1000,West
10035,2023-07-09,C0238,Headphone,Electronics,3,2500,,500,South
10036,2023-06-24,C0355,Headphone,Electronics,3,2500,,5000,North
10037,2023-02-20,C0112,Office Chair,Furniture,3,7000,4500.0,5000,South
10038,2023-12-30,C0446,Mobile,Electronics,1,22000,18000.0,5000,West
10039,2023-02-24,C0343,Headphone,Electronics,2,2500,,0,South
10040,2023-09-01,C0145,Office Chair,Furniture,2,7000,4500.0,3000,West
10041,2023-11-16,C0065,Headphone,Electronics,3,2500,,1000,East
10042,2023-05-11,C0247,Headphone,Electronics,1,2500,,500,South
10043,2023-11-03,C0735,Table,Furniture,2,9000,6500.0,500,East
10044,2023-05-15,C0490,Table,Furniture,2,9000,6500.0,3000,South
10045,2023-01-21,C0439,Headphone,Electronics,3,2500,,1000,South
10046,2023-11-25,C0106,Tablet,Electronics,1,18000,14000.0,0,South
10047,2023-06-16,C0181,Table,Furniture,3,9000,6500.0,5000,East
10048,2023-10-01,C0184,Mobile,Electronics,2,22000,18000.0,5000,South
10049,2023-03-30,C0226,Office Chair,Furniture,1,7000,4500.0,3000,North
10050,2023-11-12,C0777,Office Chair,Furniture,3,7000,4500.0,500,East
10051,2023-01-14,C0790,Mobile,Electronics,2,22000,18000.0,5000,East
10052,2023-08-30,C0089,Mobile,Electronics,3,22000,18000.0,500,West
10053,2023-09-22,C0688,Mobile,Electronics,3,22000,18000.0,500,South
10054,2023-12-12,C0530,Mobile,Electronics,3,22000,18000.0,3000,North
10055,2023-02-22,C0371,Laptop,Electronics,1,60000,48000.0,2000,North
10056,2023-12-06,C0399,Office Chair,Furniture,2,7000,4500.0,2000,East
10057,2023-04-02,C0106,Laptop,Electronics,2,60000,48000.0,2000,North
10058,2023-09-21,C0271,Headphone,Electronics,2,2500,,1000,West
10059,2023-02-04,C0503,Headphone,Electronics,2,2500,,3000,North
10060,2023-07-25,C0679,Office Chair,Furniture,1,7000,4500.0,500,West
10061,2023-03-22,C0525,Headphone,Electronics,3,2500,,5000,East
10062,2023-02-19,C0032,Mobile,Electronics,2,22000,18000.0,1000,West
10063,2023-12-26,C0393,Laptop,Electronics,1,60000,48000.0,2000,North
10064,2023-01-02,C0040,Mobile,Electronics,3,22000,18000.0,0,South
10065,2023-02-23,C0660,Headphone,Electronics,1,2500,,1000,North
10066,2023-04-16,C0218,Table,Furniture,1,9000,6500.0,1000,North
10067,2023-09-17,C0731,Laptop,Electronics,2,60000,48000.0,3000,South
10068,2023-11-06,C0082,Mobile,Electronics,2,22000,18000.0,5000,East
10069,2023-07-10,C0720,Office Chair,Furniture,3,7000,4500.0,1000,North
10070,2023-08-06,C0201,Mobile,Electronics,3,22000,18000.0,5000,West
10071,2023-02-13,C0447,Table,Furniture,2,9000,6500.0,3000,North
10072,2023-06-11,C0428,Headphone,Electronics,1,2500,,0,South
10073,2023-07-21,C0038,Laptop,Electronics,2,60000,48000.0,500,North
10074,2023-09-27,C0211,Office Chair,Furniture,3,7000,4500.0,500,East
10075,2023-12-17,C0444,Laptop,Electronics,1,60000,48000.0,2000,North
10076,2023-10-31,C0327,Office Chair,Furniture,1,7000,4500.0,2000,West
10077,2023-09-28,C0761,Laptop,Electronics,1,60000,48000.0,0,South
10078,2023-08-03,C0227,Headphone,Electronics,2,2500,,500,West
10079,2023-09-09,C0048,Office Chair,Furniture,2,7000,4500.0,2000,North
10080,2023-07-09,C0018,Tablet,Electronics,3,18000,14000.0,5000,South
10081,2023-10-23,C0439,Laptop,Electronics,1,60000,48000.0,1000,East
10082,2023-08-01,C0708,Laptop,Electronics,1,60000,48000.0,3000,West
10083,2023-07-27,C0187,Mobile,Electronics,2,22000,18000.0,2000,South
10084,2023-08-25,C0345,Office Chair,Furniture,3,7000,4500.0,0,West
10085,2023-12-04,C0224,Table,Furniture,3,9000,6500.0,500,North
10086,2023-02-22,C0488,Tablet,Electronics,1,18000,14000.0,0,East
10087,2023-10-07,C0229,Headphone,Electronics,2,2500,,3000,South
10088,2023-08-05,C0390,Mobile,Electronics,1,22000,18000.0,3000,North
10089,2023-09-09,C0589,Tablet,Electronics,2,18000,14000.0,0,South
10090,2023-07-07,C0188,Office Chair,Furniture,3,7000,4500.0,2000,West
10091,2023-02-10,C0270,Tablet,Electronics,1,18000,14000.0,2000,West
10092,2023-06-06,C0607,Laptop,Electronics,1,60000,48000.0,500,South
10093,2023-01-15,C0310,Laptop,Electronics,1,60000,48000.0,5000,West
10094,2023-10-28,C0132,Mobile,Electronics,3,22000,18000.0,500,South
10095,2023-03-06,C0551,Office Chair,Furniture,1,7000,4500.0,1000,East
10096,2023-12-11,C0072,Office Chair,Furniture,3,7000,4500.0,5000,North
10097,2023-11-23,C0793,Tablet,Electronics,2,18000,14000.0,1000,South
10098,2023-01-09,C0672,Mobile,Electronics,3,22000,18000.0,500,North
10099,2023-12-10,C0187,Office Chair,Furniture,2,7000,4500.0,5000,North
10100,2023-05-09,C0486,Table,Furniture,3,9000,6500.0,5000,South
10101,2023-05-16,C0191,Table,Furniture,3,9000,6500.0,1000,West
10102,2023-03-04,C0422,Laptop,Electronics,1,60000,48000.0,0,South
10103,2023-05-19,C0120,Tablet,Electronics,3,18000,14000.0,2000,West
10104,2023-03-22,C0220,Headphone,Electronics,1,2500,,5000,West
10105,2023-06-12,C0053,Laptop,Electronics,2,60000,48000.0,5000,North
10106,2023-10-16,C0734,Mobile,Electronics,2,22000,18000.0,1000,South
10107,2023-09-18,C0451,Office Chair,Furniture,1,7000,4500.0,5000,East
10108,2023-08-19,C0412,Laptop,Electronics,2,60000,48000.0,1000,West
10109,2023-02-10,C0643,Headphone,Electronics,3,2500,,0,West
10110,2023-01-28,C0237,Headphone,Electronics,1,2500,,5000,East
10111,2023-05-15,C0758,Table,Furniture,1,9000,6500.0,3000,South
10112,2023-07-20,C0738,Mobile,Electronics,1,22000,18000.0,500,East
10113,2023-11-24,C0720,Laptop,Electronics,2,60000,48000.0,0,North
10114,2023-09-25,C0406,Tablet,Electronics,2,18000,14000.0,3000,North
10115,2023-02-02,C0608,Laptop,Electronics,3,60000,48000.0,0,East
10116,2023-02-17,C0422,Table,Furniture,3,9000,6500.0,2000,West
10117,2023-03-03,C0712,Headphone,Electronics,1,2500,,0,West
10118,2023-08-04,C0247,Mobile,Electronics,3,22000,18000.0,0,South
10119,2023-10-20,C0072,Mobile,Electronics,2,22000,18000.0,2000,East
10120,2023-04-09,C0185,Tablet,Electronics,3,18000,14000.0,5000,West
10121,2023-06-21,C0006,Mobile,Electronics,2,22000,18000.0,500,East
10122,2023-12-26,C0206,Table,Furniture,3,9000,6500.0,3000,South
10123,2023-08-02,C0544,Table,Furniture,2,9000,6500.0,1000,East
10124,2023-02-04,C0611,Table,Furniture,2,9000,6500.0,500,South
10125,2023-08-15,C0387,Mobile,Electronics,3,22000,18000.0,0,East
10126,2023-04-11,C0768,Mobile,Electronics,3,22000,18000.0,1000,East
10127,2023-05-11,C0699,Table,Furniture,2,9000,6500.0,2000,West
10128,2023-09-14,C0076,Mobile,Electronics,1,22000,18000.0,500,North
10129,2023-01-05,C0177,Mobile,Electronics,3,22000,18000.0,5000,South
10130,2023-08-06,C0799,Headphone,Electronics,2,2500,,3000,South
10131,2023-09-12,C0349,Laptop,Electronics,3,60000,48000.0,500,North
10132,2023-12-25,C0255,Office Chair,Furniture,3,7000,4500.0,500,West
10133,2023-10-10,C0702,Mobile,Electronics,3,22000,18000.0,5000,North
10134,2023-07-26,C0308,Office Chair,Furniture,3,7000,4500.0,1000,South
10135,2023-01-15,C0345,Office Chair,Furniture,3,7000,4500.0,2000,West
10136,2023-12-12,C0127,Headphone,Electronics,1,2500,,5000,North
10137,2023-02-11,C0287,Mobile,Electronics,1,22000,18000.0,2000,West
10138,2023-06-28,C0766,Table,Furniture,1,9000,6500.0,5000,South
10139,2023-03-04,C0725,Office Chair,Furniture,2,7000,4500.0,500,North
10140,2023-12-18,C0762,Mobile,Electronics,1,22000,18000.0,2000,West
10141,2023-08-19,C0596,Tablet,Electronics,1,18000,14000.0,1000,North
10142,2023-08-29,C0487,Table,Furniture,2,9000,6500.0,1000,South
10143,2023-02-21,C0383,Tablet,Electronics,1,18000,14000.0,3000,North
10144,2023-04-06,C0406,Tablet,Electronics,3,18000,14000.0,2000,North
10145,2023-08-10,C0388,Office Chair,Furniture,1,7000,4500.0,3000,West
10146,2023-08-19,C0525,Tablet,Electronics,1,18000,14000.0,5000,East
10147,2023-08-25,C0557,Headphone,Electronics,1,2500,,0,North
10148,2023-05-23,C0639,Headphone,Electronics,3,2500,,1000,East
10149,2023-06-20,C0626,Office Chair,Furniture,3,7000,4500.0,500,East
10150,2023-01-29,C0276,Mobile,Electronics,3,22000,18000.0,1000,West
10151,2023-02-05,C0500,Laptop,Electronics,3,60000,48000.0,0,South
10152,2023-01-13,C0717,Mobile,Electronics,2,22000,18000.0,500,West
10153,2023-06-09,C0337,Mobile,Electronics,3,22000,18000.0,2000,South
10154,2023-11-23,C0481,Mobile,Electronics,3,22000,18000.0,2000,East
10155,2023-07-06,C0273,Mobile,Electronics,3,22000,18000.0,1000,West
10156,2023-08-31,C0058,Table,Furniture,3,9000,6500.0,500,North
10157,2023-03-27,C0328,Laptop,Electronics,2,60000,48000.0,5000,North
10158,2023-10-11,C0731,Table,Furniture,1,9000,6500.0,500,South
10159,2023-03-07,C0109,Tablet,Electronics,1,18000,14000.0,3000,North
10160,2023-06-19,C0279,Mobile,Electronics,3,22000,18000.0,0,North
10161,2023-02-14,C0686,Headphone,Electronics,3,2500,,2000,East
10162,2023-03-03,C0328,Office Chair,Furniture,3,7000,4500.0,1000,South
10163,2023-05-14,C0776,Office Chair,Furniture,1,7000,4500.0,500,South
10164,2023-10-11,C0315,Table,Furniture,1,9000,6500.0,2000,South
10165,2023-01-28,C0474,Table,Furniture,3,9000,6500.0,1000,North
10166,2023-04-18,C0111,Headphone,Electronics,1,2500,,2000,South
10167,2023-02-13,C0699,Mobile,Electronics,2,22000,18000.0,1000,East
10168,2023-12-06,C0781,Laptop,Electronics,3,60000,48000.0,2000,North
10169,2023-10-13,C0229,Tablet,Electronics,3,18000,14000.0,5000,West
10170,2023-11-27,C0497,Office Chair,Furniture,2,7000,4500.0,3000,South
10171,2023-05-08,C0156,Tablet,Electronics,2,18000,14000.0,0,West
10172,2023-12-14,C0473,Laptop,Electronics,1,60000,48000.0,2000,North
10173,2023-08-19,C0701,Table,Furniture,2,9000,6500.0,0,East
10174,2023-07-09,C0272,Office Chair,Furniture,3,7000,4500.0,2000,East
10175,2023-08-13,C0002,Tablet,Electronics,1,18000,14000.0,500,West
10176,2023-10-10,C0758,Table,Furniture,2,9000,6500.0,3000,East
10177,2023-05-01,C0722,Laptop,Electronics,1,60000,48000.0,5000,West
10178,2023-04-26,C0511,Tablet,Electronics,1,18000,14000.0,3000,East
10179,2023-08-21,C0286,Mobile,Electronics,1,22000,18000.0,0,East
10180,2023-09-16,C0013,Table,Furniture,1,9000,6500.0,500,West
10181,2023-12-25,C0608,Laptop,Electronics,2,60000,48000.0,1000,East
10182,2023-07-17,C0498,Tablet,Electronics,3,18000,14000.0,3000,South
10183,2023-05-17,C0733,Mobile,Electronics,3,22000,18000.0,5000,North
10184,2023-11-14,C0238,Mobile,Electronics,2,22000,18000.0,500,West
10185,2023-06-14,C0094,Laptop,Electronics,3,60000,48000.0,500,South
10186,2023-08-13,C0338,Headphone,Electronics,1,2500,,0,East
10187,2023-11-03,C0781,Office Chair,Furniture,1,7000,4500.0,5000,North
10188,2023-08-22,C0171,Laptop,Electronics,1,60000,48000.0,500,South
10189,2023-06-21,C0606,Mobile,Electronics,2,22000,18000.0,500,East
10190,2023-06-01,C0661,Mobile,Electronics,1,22000,18000.0,1000,South
10191,2023-11-11,C0624,Laptop,Electronics,1,60000,48000.0,0,South
10192,2023-06-09,C0567,Headphone,Electronics,2,2500,,0,North
10193,2023-04-06,C0467,Office Chair,Furniture,1,7000,4500.0,5000,South
10194,2023-08-21,C0628,Tablet,Electronics,1,18000,14000.0,500,East
10195,2023-06-29,C0143,Laptop,Electronics,3,60000,48000.0,1000,North
10196,2023-04-23,C0201,Office Chair,Furniture,2,7000,4500.0,2000,East
10197,2023-11-14,C0180,Office Chair,Furniture,1,7000,4500.0,3000,South
10198,2023-02-21,C0714,Table,Furniture,1,9000,6500.0,0,West
10199,2023-09-25,C0364,Mobile,Electronics,1,22000,18000.0,1000,North
10200,2023-10-22,C0479,Tablet,Electronics,1,18000,14000.0,5000,North
10201,2023-04-23,C0565,Laptop,Electronics,3,60000,48000.0,1000,South
10202,2023-04-11,C0471,Mobile,Electronics,3,22000,18000.0,500,South
10203,2023-04-23,C0384,Table,Furniture,3,9000,6500.0,3000,North
10204,2023-03-22,C0692,Table,Furniture,3,9000,6500.0,0,West
10205,2023-07-06,C0417,Mobile,Electronics,2,22000,18000.0,2000,South
10206,2023-04-23,C0308,Headphone,Electronics,1,2500,,500,South
10207,2023-01-02,C0649,Office Chair,Furniture,3,7000,4500.0,0,South
10208,2023-05-10,C0694,Laptop,Electronics,1,60000,48000.0,5000,West
10209,2023-08-08,C0367,Laptop,Electronics,2,60000,48000.0,0,North
10210,2023-02-23,C0001,Laptop,Electronics,1,60000,48000.0,1000,North
10211,2023-12-09,C0044,Mobile,Electronics,1,22000,18000.0,3000,North
10212,2023-08-12,C0739,Headphone,Electronics,3,2500,,2000,East
10213,2023-08-13,C0098,Tablet,Electronics,3,18000,14000.0,3000,West
10214,2023-05-06,C0720,Table,Furniture,2,9000,6500.0,1000,South
10215,2023-05-10,C0265,Mobile,Electronics,1,22000,18000.0,2000,North
10216,2023-02-22,C0800,Tablet,Electronics,3,18000,14000.0,2000,North
10217,2023-06-21,C0783,Table,Furniture,3,9000,6500.0,500,East
10218,2023-08-06,C0140,Table,Furniture,3,9000,6500.0,2000,North
10219,2023-06-09,C0481,Headphone,Electronics,2,2500,,0,West
10220,2023-07-17,C0237,Office Chair,Furniture,1,7000,4500.0,3000,North
10221,2023-09-04,C0072,Laptop,Electronics,3,60000,48000.0,5000,North
10222,2023-11-20,C0667,Tablet,Electronics,1,18000,14000.0,5000,North
10223,2023-07-22,C0190,Mobile,Electronics,2,22000,18000.0,3000,West
10224,2023-07-03,C0268,Tablet,Electronics,1,18000,14000.0,500,East
10225,2023-05-03,C0321,Office Chair,Furniture,3,7000,4500.0,2000,West
10226,2023-09-12,C0107,Laptop,Electronics,1,60000,48000.0,1000,South
10227,2023-10-21,C0232,Tablet,Electronics,1,18000,14000.0,0,North
10228,2023-10-07,C0042,Office Chair,Furniture,2,7000,4500.0,500,South
10229,2023-11-21,C0702,Mobile,Electronics,2,22000,18000.0,2000,South
10230,2023-04-08,C0139,Headphone,Electronics,1,2500,,5000,South
10231,2023-07-17,C0615,Table,Furniture,1,9000,6500.0,1000,South
10232,2023-08-28,C0683,Mobile,Electronics,1,22000,18000.0,2000,North
10233,2023-05-24,C0273,Laptop,Electronics,2,60000,48000.0,500,North
10234,2023-04-07,C0481,Table,Furniture,2,9000,6500.0,1000,East
10235,2023-07-20,C0416,Mobile,Electronics,1,22000,18000.0,1000,South
10236,2023-05-04,C0506,Mobile,Electronics,2,22000,18000.0,1000,West
10237,2023-07-06,C0733,Mobile,Electronics,3,22000,18000.0,1000,South
10238,2023-11-22,C0725,Mobile,Electronics,2,22000,18000.0,2000,West
10239,2023-12-15,C0424,Table,Furniture,2,9000,6500.0,1000,South
10240,2023-09-16,C0407,Laptop,Electronics,2,60000,48000.0,2000,North
10241,2023-05-28,C0568,Office Chair,Furniture,3,7000,4500.0,1000,West
10242,2023-09-09,C0390,Tablet,Electronics,3,18000,14000.0,1000,South
10243,2023-12-12,C0342,Headphone,Electronics,3,2500,,500,East
10244,2023-05-27,C0614,Tablet,Electronics,1,18000,14000.0,2000,East
10245,2023-05-28,C0493,Tablet,Electronics,1,18000,14000.0,5000,South
10246,2023-12-18,C0192,Headphone,Electronics,3,2500,,2000,East
10247,2023-07-18,C0499,Table,Furniture,1,9000,6500.0,3000,West
10248,2023-11-04,C0712,Laptop,Electronics,1,60000,48000.0,5000,South
10249,2023-05-08,C0233,Headphone,Electronics,1,2500,,500,East
10250,2023-02-08,C0227,Laptop,Electronics,3,60000,48000.0,2000,East
10251,2023-12-04,C0371,Table,Furniture,2,9000,6500.0,500,North
10252,2023-12-26,C0139,Tablet,Electronics,3,18000,14000.0,5000,South
10253,2023-05-09,C0149,Laptop,Electronics,3,60000,48000.0,500,North
10254,2023-09-24,C0115,Table,Furniture,1,9000,6500.0,500,East
10255,2023-05-31,C0450,Table,Furniture,1,9000,6500.0,0,West
10256,2023-10-25,C0063,Office Chair,Furniture,2,7000,4500.0,2000,East
10257,2023-04-09,C0104,Headphone,Electronics,2,2500,,500,North
10258,2023-09-20,C0668,Office Chair,Furniture,2,7000,4500.0,0,South
10259,2023-09-09,C0273,Tablet,Electronics,2,18000,14000.0,0,West
10260,2023-05-24,C0006,Headphone,Electronics,3,2500,,1000,South
10261,2023-12-12,C0147,Tablet,Electronics,2,18000,14000.0,1000,West
10262,2023-04-22,C0184,Office Chair,Furniture,3,7000,4500.0,5000,East
10263,2023-03-01,C0028,Table,Furniture,1,9000,6500.0,2000,North
10264,2023-01-02,C0550,Tablet,Electronics,2,18000,14000.0,1000,North
10265,2023-10-31,C0119,Headphone,Electronics,1,2500,,5000,South
10266,2023-09-11,C0293,Headphone,Electronics,1,2500,,2000,East
10267,2023-05-20,C0371,Tablet,Electronics,3,18000,14000.0,5000,West
10268,2023-02-06,C0244,Headphone,Electronics,2,2500,,0,East
10269,2023-06-09,C0580,Table,Furniture,3,9000,6500.0,0,South
10270,2023-01-09,C0726,Table,Furniture,1,9000,6500.0,2000,North
10271,2023-08-21,C0218,Headphone,Electronics,2,2500,,5000,East
10272,2023-04-09,C0177,Tablet,Electronics,1,18000,14000.0,5000,North
10273,2023-05-27,C0299,Office Chair,Furniture,1,7000,4500.0,1000,East
10274,2023-10-31,C0676,Headphone,Electronics,2,2500,,1000,North
10275,2023-07-27,C0058,Headphone,Electronics,2,2500,,2000,North
10276,2023-05-11,C0269,Headphone,Electronics,2,2500,,3000,North
10277,2023-06-01,C0308,Headphone,Electronics,3,2500,,1000,North
10278,2023-02-23,C0570,Tablet,Electronics,3,18000,14000.0,500,East
10279,2023-04-30,C0288,Office Chair,Furniture,1,7000,4500.0,1000,North
10280,2023-06-10,C0105,Office Chair,Furniture,2,7000,4500.0,3000,West
10281,2023-04-26,C0228,Laptop,Electronics,1,60000,48000.0,5000,South
10282,2023-03-16,C0247,Headphone,Electronics,1,2500,,0,South
10283,2023-04-23,C0700,Headphone,Electronics,1,2500,,0,South
10284,2023-04-14,C0494,Laptop,Electronics,1,60000,48000.0,5000,South
10285,2023-12-06,C0083,Office Chair,Furniture,1,7000,4500.0,0,North
10286,2023-09-11,C0186,Mobile,Electronics,2,22000,18000.0,1000,West
